ORIGEN,VARIABLE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
EZEIZA AERO,TEMP.MIN,17.7,16.9,15.3,11.4,8.2,5.8,4.9,6.1,7.8,10.9,13.5,15.9
EZEIZA AERO,PRECIPITACIONES,101.7,113.1,114.4,93.2,76.6,47.3,47.2,55.1,59.7,110.5,103.0,98.0
AEROPARQUE AERO,TEMP.MAX,28.4,27.2,25.5,21.7,18.3,15.1,14.3,16.3,17.9,21.2,24.2,27.0
AEROPARQUE AERO,TEMP.MIN,20.8,20.0,18.6,14.9,11.9,9.1,8.3,9.6,11.1,14.1,16.6,19.1
AEROPARQUE AERO,PRECIPITACIONES,117.4,107.7,127.6,105.6,84.4,48.7,52.8,56.3,61.7,110.4,103.7,105.2
BUENOS AIRES,TEMP.MAX,30.1,28.7,26.8,22.9,19.3,16.0,15.3,17.7,19.3,22.7,25.6,28.5
BUENOS AIRES,TEMP.MIN,20.1,19.2,17.7,13.8,10.7,8.1,7.4,8.8,10.3,13.3,15.9,18.4
BUENOS AIRES,PRECIPITACIONES,138.7,127.2,140.1,118.9,92.3,58.7,60.5,64.4,72.2,127.2,117.5,118.9
LA PLATA AERO,TEMP.MAX,28.9,27.6,25.7,21.8,18.0,14.7,14.0,16.3,17.8,21.1,24.1,27.3
LA PLATA AERO,TEMP.MIN,17.5,16.9,15.4,11.6,8.4,5.9,5.1,6.3,7.7,10.7,13.4,15.8
LA PLATA AERO,PRECIPITACIONES,108.8,114.3,124.5,86.8,79.3,52.6,61.4,61.3,69.8,110.6,103.9,95.2
PUNTA INDIO B.A.,TEMP.MAX,28.0,26.8,25.2,21.4,17.9,14.6,13.8,15.7,17.2,20.6,23.3,26.3
PUNTA INDIO B.A.,TEMP.MIN,18.3,17.6,16.2,12.3,9.0,6.2,5.4,6.7,8.2,11.3,14.0,16.7
PUNTA INDIO B.A.,PRECIPITACIONES,84.1,112.6,109.2,95.2,68.5,64.7,64.7,71.1,73.3,100.2,107.9,78.7
SANTA ROSA AERO,TEMP.MAX,31.0,29.8,26.9,22.4,18.0,14.7,14.2,17.2,19.7,23.1,26.7,29.8
SANTA ROSA AERO,TEMP.MIN,16.4,15.1,13.4,9.2,5.7,3.0,2.0,3.4,5.7,9.2,12.2,15.1
SANTA ROSA AERO,PRECIPITACIONES,94.6,81.0,102.3,58.0,32.9,15.5,21.5,28.1,50.9,74.7,81.7,104.3
CORONEL SUÁREZ AERO,TEMP.MAX,28.7,27.4,24.8,20.4,16.1,12.7,12.3,14.9,17.1,20.3,23.9,27.4
CORONEL SUÁREZ AERO,TEMP.MIN,13.8,12.7,11.1,7.0,3.8,1.3,0.4,1.4,3.4,6.6,9.3,12.0
CORONEL SUÁREZ AERO,PRECIPITACIONES,112.3,80.4,95.9,70.9,47.4,22.1,28.5,32.4,58.1,99.7,74.3,84.1
TANDIL AERO,TEMP.MAX,28.1,26.8,24.3,20.3,16.4,13.0,12.4,14.7,16.6,19.8,23.0,26.4
TANDIL AERO,TEMP.MIN,13.6,13.0,11.5,7.6,4.8,2.3,1.4,2.6,4.1,7.2,9.7,11.9
TANDIL AERO,PRECIPITACIONES,108.5,90.2,98.8,71.3,59.7,37.2,37.6,45.2,58.6,97.7,94.6,79.2
DOLORES AERO,TEMP.MAX,28.6,27.4,25.6,21.6,17.9,14.3,13.6,15.9,17.5,21.0,23.8,27.0
DOLORES AERO,TEMP.MIN,,14.7,13.3,,,,,,,,,
DOLORES AERO,PRECIPITACIONES,108.4,99.8,90.4,97.4,58.7,59.9,59.6,59.0,,102.1,108.7,83.9
PIGÜÉ AERO,TEMP.MAX,28.8,27.4,24.5,19.8,15.6,12.2,11.6,14.4,16.7,20.0,23.7,27.5
PIGÜÉ AERO,TEMP.MIN,14.3,13.3,11.7,7.7,4.6,2.1,1.2,2.5,4.1,7.3,9.9,12.8
PIGÜÉ AERO,PRECIPITACIONES,,101.6,92.8,,,22.5,26.2,34.8,63.2,95.5,87.1,88.3
TRES ARROYOS,TEMP.MAX,29.3,27.7,25.1,20.6,16.4,13.1,12.5,14.9,17.0,20.2,23.8,27.4
TRES ARROYOS,TEMP.MIN,15.1,14.5,12.9,9.2,6.3,3.8,3.0,4.0,5.4,8.2,10.8,13.3
TRES ARROYOS,PRECIPITACIONES,85.1,99.5,83.5,74.5,59.3,34.5,43.2,42.3,63.1,82.5,88.3,80.0
MAR DEL PLATA AERO,TEMP.MAX,26.5,25.6,23.9,20.4,16.8,13.6,12.7,14.5,15.9,18.9,21.7,24.5
MAR DEL PLATA AERO,TEMP.MIN,14.6,14.3,13.0,9.2,6.3,3.8,3.1,4.1,5.3,7.8,10.2,12.6
MAR DEL PLATA AERO,PRECIPITACIONES,94.9,93.9,95.7,85.5,66.4,57.4,55.7,55.9,57.3,89.3,81.3,92.8
NEUQUÉN AERO,TEMP.MAX,31.9,30.6,27.0,21.6,16.5,12.9,12.9,15.9,18.9,23.2,27.1,30.2
NEUQUÉN AERO,TEMP.MIN,15.5,14.2,11.6,6.8,3.5,1.5,0.2,1.6,4.4,8.2,11.6,14.5
